pedido_id,cliente_id,sku_id,fecha,semana,anio,cajas_pedidas,monto_total
PED000001,CLI001,SKU001,2025-09-20,38,2025,5,92.5
PED000002,CLI001,SKU004,2025-09-20,38,2025,4,80.0
PED000003,CLI001,SKU005,2025-09-20,38,2025,4,70.0
PED000004,CLI001,SKU009,2025-09-20,38,2025,3,36.0
PED000005,CLI001,SKU008,2025-09-20,38,2025,1,17.0
PED000006,CLI001,SKU010,2025-09-20,38,2025,1,28.0
PED000007,CLI001,SKU001,2025-09-27,39,2025,4,74.0
PED000008,CLI001,SKU004,2025-09-27,39,2025,4,80.0
PED000009,CLI001,SKU005,2025-09-27,39,2025,4,70.0
PED000010,CLI001,SKU009,2025-09-27,39,2025,2,24.0
PED000011,CLI001,SKU006,2025-09-27,39,2025,1,21.0
PED000012,CLI001,SKU003,2025-09-27,39,2025,1,24.5
PED000013,CLI001,SKU001,2025-10-04,40,2025,3,55.5
PED000014,CLI001,SKU004,2025-10-04,40,2025,3,60.0
PED000015,CLI001,SKU005,2025-10-04,40,2025,3,52.5
PED000016,CLI001,SKU009,2025-10-04,40,2025,3,36.0
PED000017,CLI001,SKU006,2025-10-04,40,2025,1,21.0
PED000018,CLI001,SKU003,2025-10-04,40,2025,1,24.5
PED000019,CLI001,SKU001,2025-10-11,41,2025,3,55.5
PED000020,CLI001,SKU004,2025-10-11,41,2025,4,80.0
PED000021,CLI001,SKU005,2025-10-11,41,2025,3,52.5
PED000022,CLI001,SKU009,2025-10-11,41,2025,3,36.0
PED000023,CLI001,SKU003,2025-10-11,41,2025,1,24.5
PED000024,CLI001,SKU006,2025-10-11,41,2025,1,21.0
PED000025,CLI001,SKU001,2025-10-18,42,2025,4,74.0
PED000026,CLI001,SKU004,2025-10-18,42,2025,3,60.0
PED000027,CLI001,SKU005,2025-10-18,42,2025,4,70.0
PED000028,CLI001,SKU009,2025-10-18,42,2025,4,48.0
PED000029,CLI001,SKU002,2025-10-18,42,2025,1,22.0
PED000030,CLI001,SKU010,2025-10-18,42,2025,1,28.0
PED000031,CLI001,SKU001,2025-10-25,43,2025,3,55.5
PED000032,CLI001,SKU004,2025-10-25,43,2025,2,40.0
PED000033,CLI001,SKU005,2025-10-25,43,2025,5,87.5
PED000034,CLI001,SKU009,2025-10-25,43,2025,5,60.0
PED000035,CLI001,SKU008,2025-10-25,43,2025,1,17.0
PED000036,CLI001,SKU002,2025-10-25,43,2025,1,22.0
PED000037,CLI001,SKU001,2025-11-01,44,2025,3,55.5
PED000038,CLI001,SKU004,2025-11-01,44,2025,4,80.0
PED000039,CLI001,SKU005,2025-11-01,44,2025,3,52.5
PED000040,CLI001,SKU009,2025-11-01,44,2025,3,36.0
PED000041,CLI001,SKU003,2025-11-01,44,2025,1,24.5
PED000042,CLI001,SKU008,2025-11-01,44,2025,1,17.0
PED000043,CLI001,SKU001,2025-11-08,45,2025,5,92.5
PED000044,CLI001,SKU004,2025-11-08,45,2025,3,60.0
PED000045,CLI001,SKU005,2025-11-08,45,2025,4,70.0
